average_waiting_time,average_travel_time,average_delay,average_queue_length,throughput,returns,qloss,epsilon,steps,episode
76.73224322943281,113.40674501788452,103.09126612230259,17.375,1902,-45,95.06476135253907,0.9901,360,1
106.01395598497048,147.52603327965647,136.90233015297858,18.5,1818,-41,91.16434478759766,0.9802,720,2
73.40959040959041,107.508991008991,97.03990030418332,16.0,1958,-12,86.52593460083008,0.9703,1080,3
91.29943211151264,131.61280330407848,121.25207619534558,17.25,1883,-27,88.08492431640624,0.9604,1440,4
85.82712901580827,126.73125956144824,116.07142771903766,22.0,1923,-18,92.46851654052735,0.9505,1800,5
84.11497189575881,122.5334695963209,112.00308823605182,19.625,1886,-44,84.485595703125,0.9406,2160,6
93.00855991943605,134.9491440080564,124.30386239539654,19.0,1914,-34,91.0171745300293,0.9307,2520,7
73.44383424862706,115.41288067898152,105.10173952636794,17.75,1944,-59,89.09149017333985,0.9208,2880,8
63.222388059701494,101.20995024875621,90.72317547747319,17.0,1963,-47,91.27010574340821,0.9109,3240,9
90.83383233532935,131.60229540918164,121.06585710162717,19.875,1963,-12,90.49525680541993,0.901,3600,10
58.11283851554664,93.06369107321966,82.66484490814754,15.75,1955,-34,89.5051513671875,0.8911,3960,11
69.04678944748632,103.82926829268293,93.42174811925803,15.5,1971,-12,82.5501953125,0.8812,4320,12
63.50372578241431,100.00645802285146,89.58061054628516,16.75,1986,-9,85.56643600463867,0.8713,4680,13
43.86600496277916,78.36923076923077,68.05548151388328,14.375,1978,-27,80.79783973693847,0.8613999999999999,5040,14
119.74937965260546,166.9667493796526,156.47740631810368,21.875,1913,-56,82.09271087646485,0.8515,5400,15
64.19217081850533,99.94865277071683,89.54321552038158,16.875,1919,-30,81.84045944213867,0.8416,5760,16
58.794705294705295,92.79270729270729,82.37858530391523,16.75,1960,-10,75.33878860473632,0.8317,6120,17
67.32742017232641,103.80638621388748,93.21518400376944,16.625,1930,-12,71.67376518249512,0.8218,6480,18
50.8098311817279,83.78699106256207,73.29616939207203,13.75,1990,-9,70.00914573669434,0.8119,6840,19
43.07810945273632,78.081592039801,67.71603079011163,16.625,1951,-59,70.6205940246582,0.802,7200,20
73.41540020263425,111.45542046605877,100.67529095114689,19.0,1935,-17,69.44565010070801,0.7921,7560,21
49.152853598014886,81.34441687344913,70.8381397937521,12.625,1998,-10,69.65975914001464,0.7822,7920,22
58.49203980099502,96.3910447761194,86.08408822620349,18.0,1953,-49,74.0659294128418,0.7723,8280,23
72.87062566277837,107.61134676564157,96.9533802222608,14.125,1848,-28,87.83462524414062,0.7624,8640,24
53.19879819729594,86.11867801702554,75.55111419442342,11.5,1957,-25,87.88044967651368,0.7525,9000,25
73.74222668004012,111.63540621865597,101.21086351140406,16.0,1937,-55,84.26570129394531,0.7425999999999999,9360,26
60.29645314981472,93.39174166225516,82.80840288055239,11.75,1839,-40,98.37981262207032,0.7327,9720,27
74.02978941961993,108.6974833076528,98.24171348330263,13.75,1917,-19,149.90059356689454,0.7228,10080,28
95.31439602868174,132.69939327082184,121.92783111538309,14.0,1761,-50,166.0031707763672,0.7129,10440,29
64.6968112911657,96.2807109252483,85.81974816867972,13.375,1882,-25,227.13042678833008,0.7030000000000001,10800,30
70.38566195709053,103.65044479330193,93.210816193265,13.125,1877,-20,283.8901962280273,0.6931,11160,31
63.52301255230125,98.05020920502092,87.30482457251037,12.25,1871,-28,355.06246795654295,0.6832,11520,32
76.39658848614073,112.54264392324095,101.90304643467933,16.375,1850,-11,435.64305725097654,0.6733,11880,33
61.520369364475826,93.89570885388376,83.08809905366563,10.625,1782,-13,687.0881469726562,0.6634,12240,34
80.97547380156075,115.59866220735786,104.61123851367252,15.0,1742,-43,820.1501770019531,0.6535,12600,35
64.62323561346362,96.35504885993485,85.89745843812531,11.75,1808,-10,1240.9813171386718,0.6436,12960,36
111.26094470046083,156.67857142857142,145.48415108674203,15.25,1679,-57,1615.926043701172,0.6336999999999999,13320,37
97.23883928571429,133.47098214285714,122.53861497465346,13.5,1757,-15,2704.264929199219,0.6237999999999999,13680,38
92.78861330326944,130.58737316798195,119.63413045409916,12.0,1736,-29,3352.69365234375,0.6139,14040,39
74.46743929359823,108.29746136865342,97.41455533841985,10.875,1770,-27,4331.685217285156,0.604,14400,40
92.55829982768523,126.29236071223434,115.10227990182217,12.125,1690,-17,5411.278271484375,0.5941,14760,41
74.94499449944995,110.89218921892189,100.15115661616822,14.75,1768,-38,7455.505615234375,0.5842,15120,42
76.63235294117646,111.0656512605042,100.61194290083311,10.875,1857,-44,10309.630126953125,0.5743,15480,43
66.76070663811564,99.96948608137045,89.33970584106216,11.0,1823,-43,13305.118994140625,0.5644,15840,44
96.95743504698729,135.75400773908237,124.86120211490389,12.0,1751,-45,16738.17197265625,0.5545,16200,45
95.01122964626614,137.2667040988209,126.42945214602895,12.5,1733,-40,18612.0884765625,0.5446,16560,46
80.05781938325991,119.19933920704845,108.38675782805139,12.625,1752,-46,23863.56943359375,0.5347,16920,47
74.45904436860069,107.71786120591581,96.57192811457045,11.875,1719,-26,32482.3794921875,0.5247999999999999,17280,48
71.3708644610459,105.82870864461046,95.19064233257629,11.5,1818,-45,31285.97568359375,0.5148999999999999,17640,49
95.6574647887324,135.61014084507042,124.64593222515919,11.5,1730,-35,54590.725,0.505,18000,50
79.08833522083805,115.29614949037372,104.19153923557636,11.125,1718,-40,52988.8673828125,0.4951,18360,51
55.857142857142854,93.71537208039109,83.12427584551303,10.5,1773,-46,68427.526953125,0.48519999999999996,18720,52
74.76029328821207,110.04794134235759,99.17414992718334,11.5,1727,-37,68406.680078125,0.47529999999999994,19080,53
109.31977401129943,150.74576271186442,139.73393991622564,12.125,1726,-39,89013.550390625,0.46540000000000004,19440,54
65.45781837721655,98.28103170338528,87.71008771310396,10.75,1824,-10,79637.051171875,0.4555,19800,55
107.69000598444046,147.6038300418911,136.35188217594794,11.5,1625,-34,125336.790234375,0.4456,20160,56
73.59613130128956,110.58968347010551,99.4402147586078,9.875,1660,-34,122417.64296875,0.4357,20520,57
82.39652173913043,120.42492753623188,109.45716199044367,10.5,1663,-39,194703.6484375,0.42579999999999996,20880,58
78.15798511734401,111.85975958786491,100.91023040046727,11.75,1697,-40,216401.475,0.41589999999999994,21240,59
91.21533060269164,128.9139847864248,117.75513654662772,12.625,1664,-32,189533.24921875,0.406,21600,60
89.05321507760532,124.05044345898004,113.18735557580786,9.625,1758,-30,266615.5875,0.3961,21960,61
87.12844574780058,123.63577712609971,112.61495100705841,10.875,1645,-39,263389.0953125,0.3862,22320,62
106.4802671523983,149.72738312082575,138.86012400692442,10.0,1564,-35,328943.34921875,0.37629999999999997,22680,63
120.83854818523155,162.49374217772214,151.34016569289375,9.625,1518,-34,333895.7328125,0.36639999999999995,23040,64
135.32246153846154,185.5483076923077,174.87589914715167,9.625,1535,-14,612997.4625,0.35649999999999993,23400,65
73.14428152492668,112.54897360703812,101.41765615912246,9.875,1656,-31,705046.90625,0.3466,23760,66
157.2217847769029,201.53543307086613,190.4625155945268,9.875,1423,-25,690918.246875,0.3367,24120,67
121.46271393643032,168.84413202933985,157.6180206384243,10.125,1564,-16,1242527.5375,0.3268,24480,68
125.67530120481928,171.48855421686747,160.45051008637964,10.375,1582,-33,860389.159375,0.31689999999999996,24840,69
141.25231910946198,182.11008039579468,171.23015976838997,10.25,1517,-46,1588396.325,0.30699999999999994,25200,70
163.33901515151516,208.88825757575756,198.19135611344356,10.25,1487,-33,1558668.346875,0.2970999999999999,25560,71
86.03305785123968,123.37662337662337,112.43879539926417,9.25,1633,-29,1402515.496875,0.2872,25920,72
159.63969658659923,198.78634639696585,188.13499949310238,10.25,1482,-36,2123882.58125,0.2773,26280,73
93.03650508677438,128.43207660083783,117.30683557962139,10.25,1637,-26,1899002.15,0.26739999999999997,26640,74
166.06308100929616,218.76228419654714,207.80073192683835,11.125,1400,-43,2686579.85,0.25749999999999995,27000,75
137.0836976889444,197.07183010618363,186.21880189143013,10.125,1490,-46,1859837.7,0.24759999999999993,27360,76
77.99629400864731,117.38665843113033,105.99806379912827,9.25,1567,-30,2461579.175,0.23770000000000002,27720,77
152.86782720825275,213.0741457124436,202.311089478509,10.625,1446,-44,4068014.7875,0.2278,28080,78
158.56620428751577,207.5485498108449,196.83996547030142,8.875,1484,-38,3191936.7,0.21789999999999998,28440,79
174.70148291424888,217.32882011605415,206.7057368649191,8.75,1441,-46,3572303.0875,0.20799999999999996,28800,80
169.14183381088824,244.33810888252148,233.12771966906976,9.25,1291,-47,5514476.8,0.19809999999999994,29160,81
196.12670007158195,243.31281317108088,232.0750473186543,8.875,1286,-47,4770942.7375,0.18819999999999992,29520,82
124.70569417786308,191.57197696737043,180.3469135034772,9.125,1472,-50,7165844.65,0.17830000000000001,29880,83
158.31036662452593,209.84513274336283,199.35450006437776,8.75,1471,-46,7709356.5,0.1684,30240,84
178.43421949556918,232.4451261077028,221.32789886522002,9.125,1358,-46,6738375.725,0.15849999999999997,30600,85
158.6424968474149,207.6279949558638,196.9739959649148,9.125,1474,-42,12752016.0,0.14859999999999995,30960,86
187.46478873239437,255.45366938472944,243.99544708285512,7.875,1240,-46,8594472.475,0.13869999999999993,31320,87
163.9409090909091,221.07792207792207,210.64178032386124,9.625,1429,-40,11126515.0,0.12879999999999991,31680,88
198.93031875463305,253.97034840622683,242.4736765306249,10.0,1240,-46,17603302.45,0.1189,32040,89
158.6437994722955,219.15303430079155,208.21202590119128,8.75,1411,-41,8702671.725,0.10899999999999999,32400,90
206.66178861788617,278.9170731707317,267.2596002752381,7.875,1127,-40,21742431.7,0.09909999999999997,32760,91
207.82628747117602,266.29746348962334,254.92066652435074,8.25,1194,-44,13442802.3,0.08919999999999995,33120,92
